n'; m'; exact; alfa;
20;41.8;0.64; 7.7251;
40;70.8;2.76; 6.4208;
60;95.0;5.92; 4.6691;
80;119.8;9.24; 3.7304;
100;144.0;13.32; 3.1524;
120;168.8;16.36; 3.1734;
140;193.0;20.92; 2.7514;
160;217.8;24.08; 2.9443;
180;242.0;29.08; 2.5279;
200;266.8;32.64; 2.5287;
250;321.0;44.60; 2.3600;
300;380.0;57.36; 2.1822;
350;434.8;68.56; 2.1600;
400;489.0;81.84; 2.0859;
450;548.0;93.36; 2.0559;
500;602.8;106.72; 2.0122;
600;711.8;153.24; 1.6702;
700;820.8;182.12; 1.6548;
800;929.8;210.40; 1.6506;
900;1034.0;241.72; 1.6330;
1000;1143.0;271.92; 1.6196;
